"oid","tid","otid","bid","sku","x","y","z","l","d","h","w"
43648,2,"43648X2","K0001","5649361",2430,900,0,950,300,1140,377
43648,2,"43648X2","K0001","5649362",2430,600,0,950,300,1140,377
43648,3,"43648X3","K0001","5649365",3460,260,0,480,280,1140,385
43648,4,"43648X4","K0001","5649366",0,2240,0,1120,260,1570,1300
43648,2,"43648X2","K0001","5649367",2430,300,0,950,300,1140,377
43648,2,"43648X2","K0001","5649368",2430,0,0,950,300,1140,377
43648,2,"43648X2","K0001","5649372",2070,2280,0,950,300,1140,377
43648,2,"43648X2","K0001","5649373",1120,2280,0,950,300,1140,377
43648,2,"43648X2","K0001","5649375",1480,1140,0,950,1140,300,377
43648,4,"43648X4","K0001","5649377",260,1960,1140,480,280,1140,385
43648,2,"43648X2","K0001","5649379",1480,0,0,950,1140,300,377
43648,2,"43648X2","K0001","5649381",360,1850,1310,1140,300,950,377
43648,2,"43648X2","K0001","5649382",360,1850,360,1140,300,950,377
43648,2,"43648X2","K0001","5649386",360,900,1560,1140,950,300,377
43648,2,"43648X2","K0001","5649387",360,900,1260,1140,950,300,377
43648,2,"43648X2","K0001","5649389",360,900,960,1140,950,300,377
43648,2,"43648X2","K0001","5649390",360,900,660,1140,950,300,377
43648,4,"43648X4","K0001","5649394",260,1960,0,480,280,1140,385
43648,2,"43648X2","K0001","5649395",360,900,360,1140,950,300,377
43648,2,"43648X2","K0001","5649396",360,0,1910,1140,950,300,377
43648,3,"43648X3","K0001","5649398",1250,1740,300,300,950,1140,377
43648,3,"43648X3","K0001","5649399",950,600,1550,950,1140,300,377
43648,4,"43648X4","K0001","5649402",260,1480,1140,280,480,1140,385
43648,3,"43648X3","K0001","5649403",1850,600,300,300,1140,950,377
43648,3,"43648X3","K0001","5649405",1550,600,300,300,1140,950,377
43648,3,"43648X3","K0001","5649406",1250,600,1250,950,1140,300,377
43648,4,"43648X4","K0001","5649408",260,1480,0,280,480,1140,385
43648,1,"43648X1","K0001","5649410",1120,2400,0,1140,280,950,229
43648,3,"43648X3","K0001","5649411",1250,600,300,300,1140,950,377
43648,3,"43648X3","K0001","5649412",2200,0,950,300,950,1140,377
43648,4,"43648X4","K0001","5649417",540,520,1400,280,1140,480,385
43648,4,"43648X4","K0001","5649418",540,520,1120,480,1140,280,385
43648,3,"43648X3","K0001","5649419",2200,0,0,300,1140,950,377
43648,4,"43648X4","K0001","5649421",540,520,840,480,1140,280,385
43648,3,"43648X3","K0001","5649423",1250,1740,0,1140,950,300,377
43648,4,"43648X4","K0001","5649424",540,520,560,480,1140,280,385
43648,3,"43648X3","K0001","5649425",1250,600,0,950,1140,300,377
43648,3,"43648X3","K0001","5649427",1250,300,1140,950,300,1140,377
43648,4,"43648X4","K0001","5649428",0,1120,0,260,1120,1570,1300
43648,4,"43648X4","K0001","5649430",540,520,280,480,1140,280,385
43648,3,"43648X3","K0001","5649431",1250,300,0,950,300,1140,377
43648,4,"43648X4","K0001","5649433",540,520,0,480,1140,280,385
43648,3,"43648X3","K0001","5649434",1250,0,1140,950,300,1140,377
43648,3,"43648X3","K0001","5649437",1250,0,0,950,300,1140,377
43648,4,"43648X4","K0001","5649438",1380,280,0,480,280,1140,385
43648,4,"43648X4","K0001","5649439",260,1000,0,280,480,1140,385
43648,3,"43648X3","K0001","5649440",300,1140,1140,950,1140,300,377
43648,3,"43648X3","K0001","5649443",300,0,1140,950,1140,300,377
43648,3,"43648X3","K0001","5649444",300,1800,0,950,300,1140,377
43648,3,"43648X3","K0001","5649446",300,1500,0,950,300,1140,377
43648,3,"43648X3","K0001","5649447",300,1200,0,950,300,1140,377
43648,4,"43648X4","K0001","5649448",0,0,0,260,1120,1570,1300
43648,3,"43648X3","K0001","5649449",300,900,0,950,300,1140,377
43648,3,"43648X3","K0001","5649452",300,600,0,950,300,1140,377
43648,3,"43648X3","K0001","5649453",300,300,0,950,300,1140,377
43648,4,"43648X4","K0001","5649455",260,520,0,280,480,1140,385
43648,3,"43648X3","K0001","5649456",300,0,0,950,300,1140,377
43648,3,"43648X3","K0001","5649458",0,1140,1850,950,1140,300,377
43648,4,"43648X4","K0001","5649459",1380,0,1140,480,1140,280,385
43648,3,"43648X3","K0001","5649461",0,0,1850,950,1140,300,377
43648,4,"43648X4","K0001","5649462",1380,0,0,480,280,1140,385
43648,3,"43648X3","K0001","5649463",0,1140,1550,950,1140,300,377
43648,3,"43648X3","K0001","5649464",2200,0,2090,960,1140,260,421
43648,3,"43648X3","K0001","5649465",0,0,1550,950,1140,300,377
43648,4,"43648X4","K0001","5649466",280,0,1570,1140,280,480,385
43648,4,"43648X4","K0001","5649468",1020,1774,0,950,134,1120,586
43648,1,"43648X1","K0001","5649469",6060,1140,0,1140,1200,560,400
43648,3,"43648X3","K0001","5649470",0,2280,1140,950,300,1140,377
43648,1,"43648X1","K0001","5649471",4920,1140,0,1140,1200,560,400
43648,4,"43648X4","K0001","5649472",1020,1640,0,950,134,1120,586
43648,1,"43648X1","K0001","5649474",3780,1140,0,1140,1200,560,400
43648,4,"43648X4","K0001","5649476",1020,520,0,134,1120,950,436
43648,1,"43648X1","K0001","5649479",11120,0,1200,560,1200,1140,400
43648,4,"43648X4","K0001","5649480",954,520,1400,134,1120,950,436
