"oid";"tid";"otid";"bid";"sku";"x";"y";"z";"l";"d";"h";"w"
18092;18;"18092X18";"K0001";"5678087";2080;2440;0;950;134;1120;0
18092;18;"18092X18";"K0001";"5678088";4180;1300;1740;950;1120;134;0
18092;18;"18092X18";"K0001";"5678089";9570;0;2180;1120;950;134;0
18092;18;"18092X18";"K0001";"5678090";8620;0;2180;950;1120;134;0
18092;18;"18092X18";"K0001";"5678091";7670;0;2180;950;1120;134;0
18092;18;"18092X18";"K0001";"5678092";3400;1120;2180;1120;950;134;0
18092;12;"18092X12";"K0001";"5688802";2500;300;1140;950;300;1140;0
18092;3;"18092X3";"K0001";"5688803";9840;1440;0;300;1140;1550;0
18092;19;"18092X19";"K0001";"5688804";6440;280;1040;1140;480;280;0
18092;12;"18092X12";"K0001";"5688805";2500;0;1140;950;300;1140;0
18092;12;"18092X12";"K0001";"5688806";2200;1900;1140;950;300;1140;0
18092;13;"18092X13";"K0001";"5688807";8170;2280;0;1140;280;950;0
18092;3;"18092X3";"K0001";"5688808";9540;1440;0;300;1140;1550;0
18092;18;"18092X18";"K0001";"5688809";11800;0;0;134;1120;950;0
18092;18;"18092X18";"K0001";"5688810";3400;0;2180;950;1120;134;0
18092;13;"18092X13";"K0001";"5688811";7220;2280;0;950;280;1140;0
18092;12;"18092X12";"K0001";"5688812";2200;950;1140;300;950;1140;0
18092;12;"18092X12";"K0001";"5688813";2200;0;1140;300;950;1140;0
18092;3;"18092X3";"K0001";"5688814";11340;300;0;300;1140;1550;0
18092;12;"18092X12";"K0001";"5688815";1250;2040;1140;950;300;1140;0
18092;3;"18092X3";"K0001";"5688816";11040;300;0;300;1140;1550;0
18092;13;"18092X13";"K0001";"5688817";6270;2280;1140;1140;280;950;0
18092;2;"18092X2";"K0001";"5688818";8820;260;0;1120;260;1570;0
18092;3;"18092X3";"K0001";"5688819";10740;300;0;300;1140;1550;0
18092;2;"18092X2";"K0001";"5688820";9940;0;0;1120;260;1570;0
18092;19;"18092X19";"K0001";"5688821";6440;280;760;1140;480;280;0
18092;17;"18092X17";"K0001";"5688822";4540;0;1140;960;260;1140;0
18092;17;"18092X17";"K0001";"5688823";4540;0;0;960;260;1140;0
18092;17;"18092X17";"K0001";"5688824";4180;1300;1480;960;1140;260;0
18092;3;"18092X3";"K0001";"5688825";10440;300;0;300;1140;1550;0
18092;3;"18092X3";"K0001";"5688826";10140;300;0;300;1140;1550;0
18092;3;"18092X3";"K0001";"5688827";9840;300;0;300;1140;1550;0
18092;2;"18092X2";"K0001";"5688828";8820;0;0;1120;260;1570;0
