id;x;y;z
K0001;0;0;2050
K0001;9440;0;1200
K0001;0;0;1570
K0001;8880;0;1200
K0001;8320;0;1200
K0001;7760;0;1200
K0001;7200;0;1200
K0001;0;2280;0
K0001;6640;0;1200
K0001;6080;0;1200
K0001;5520;0;1200
K0001;4960;0;1200
K0001;0;950;950
K0001;3760;1200;1200
K0001;0;950;0
K0001;4400;0;1200
K0001;0;0;1120
K0001;3840;0;1200
K0001;0;0;0
K0001;11060;0;0
K0001;10500;0;0
K0001;9940;0;0
K0001;9380;0;0
K0001;8820;0;0
K0001;8260;0;0
K0001;7700;0;0
K0001;7140;0;0
K0001;6580;0;0
K0001;6020;0;0
K0001;5460;0;0
K0001;4900;0;0
K0001;4340;0;0
K0001;2640;1945;1200
K0001;2640;1945;0
K0001;3200;745;1120
K0001;2640;745;1120
K0001;2640;745;560
K0001;2640;745;0
K0001;3780;0;0
